,year,violent,murder,robbery,population,state,law
525,1995,687.8,8.5,187.3,9.659871,MI,no
526,1996,635.3,7.5,176.2,9.739184,MI,no
527,1997,590,7.8,152.8,9.78545,MI,no
528,1998,620.8,7.3,155.8,9.820231,MI,no
529,1999,574.9,7,143,9.863775,MI,no
530,1977,193.8,2.7,85.9,3.989365,MN,no
531,1978,189.6,2,85.1,4.015341,MN,no
532,1979,221,2.3,92.5,4.050317,MN,no
533,1980,227.8,2.6,99.1,4.085017,MN,no
534,1981,228.5,2.1,104.3,4.111674,MN,no
535,1982,219.3,2.3,101.3,4.131444,MN,no
536,1983,190.9,1.7,79.6,4.141438,MN,no
537,1984,211.5,1.8,71.1,4.157698,MN,no
538,1985,256.4,2.1,85.8,4.184286,MN,no
539,1986,284.6,2.5,102,4.205208,MN,no
540,1987,285.4,2.6,102.5,4.23514,MN,no
541,1988,290.1,2.9,94.7,4.296162,MN,no
542,1989,288.3,2.5,94.8,4.338045,MN,no
543,1990,306.1,2.7,92.7,4.387283,MN,no
544,1991,316,3,98,4.427429,MN,no
545,1992,338,3.3,109.5,4.471503,MN,no
546,1993,353.9,3.4,112.7,4.521709,MN,no
547,1994,359,3.2,117.6,4.566028,MN,no
548,1995,356.1,3.9,123.7,4.605445,MN,no
549,1996,338.8,3.6,115.6,4.647723,MN,no
550,1997,337.8,2.8,114.7,4.687726,MN,no
551,1998,310.2,2.6,92.5,4.726411,MN,no
552,1999,274,2.8,82,4.775508,MN,no
553,1977,288.7,14.3,65.7,2.459202,MS,no
554,1978,321.2,12.6,70.2,2.487817,MS,no
555,1979,323.6,12.6,70.7,2.507067,MS,no
556,1980,341.9,14.5,81,2.525342,MS,no
557,1981,304.6,12.6,81.4,2.539051,MS,no
558,1982,294.6,14,73,2.556768,MS,no
559,1983,280.4,11.2,63.8,2.56773,MS,no
560,1984,282,9.7,60.5,2.578058,MS,no
561,1985,270.9,10.6,62.6,2.588097,MS,no
562,1986,274.1,11.2,64.6,2.593596,MS,no
563,1987,269.8,10.2,57,2.588539,MS,no
564,1988,325.2,8.6,77.2,2.580353,MS,no
565,1989,311.2,9.7,78.3,2.574273,MS,no
566,1990,340.4,12.2,86.2,2.577426,MS,no
567,1991,389.1,12.8,116.3,2.59123,MS,yes
568,1992,411.7,12.2,124.5,2.610193,MS,yes
569,1993,433.9,13.5,139.3,2.635574,MS,yes
570,1994,493.7,15.3,162.5,2.66345,MS,yes
571,1995,502.8,12.9,130.9,2.690788,MS,yes
572,1996,488.3,11.1,134.2,2.709925,MS,yes
573,1997,469,13.1,137,2.731826,MS,yes
574,1998,410.7,11.4,123.3,2.751335,MS,yes
575,1999,349.3,7.7,111.6,2.768619,MS,yes
576,1977,460.4,9.6,189,4.863175,MO,no
577,1978,467.9,10.4,184,4.8894,MO,no
578,1979,527.2,11.2,210.9,4.912428,MO,no
579,1980,554.5,11.1,223.6,4.921966,MO,no
580,1981,540.2,10.4,215.2,4.932079,MO,no
581,1982,506.5,9.7,193,4.929442,MO,no
582,1983,477.2,8.1,167.9,4.943727,MO,no
583,1984,460.7,7.1,140.8,4.975283,MO,no
584,1985,503.5,8.1,147.6,5.000254,MO,no
585,1986,578.6,9.2,170.2,5.023068,MO,no
586,1987,544.6,8.3,164.1,5.056695,MO,no
587,1988,552.5,8,168.1,5.08173,MO,no
588,1989,632.6,7.9,195,5.095819,MO,no
589,1990,715.3,8.8,216.4,5.12637,MO,no
590,1991,763,10.5,251.1,5.15777,MO,no
591,1992,740.4,10.5,226.9,5.193686,MO,no
592,1993,744.4,11.3,241.8,5.237757,MO,no
593,1994,743.5,10.5,230.7,5.281206,MO,no
594,1995,663.8,8.8,204,5.32461,MO,no
595,1996,590.9,8.1,170.6,5.367888,MO,no
596,1997,577.4,7.9,156.1,5.407113,MO,no
597,1998,555.7,7.3,149.2,5.437562,MO,no
598,1999,500.2,6.6,130.7,5.468338,MO,no
599,1977,218,5.4,39.2,0.769954,MT,no
600,1978,237.6,4.8,36.8,0.782316,MT,no
601,1979,224.2,4.2,33.1,0.787308,MT,no
602,1980,222.6,4,34,0.788752,MT,no
603,1981,253,3.4,38.1,0.795317,MT,no
604,1982,224.8,3.9,33.1,0.80399,MT,no
605,1983,212.6,3.7,23.5,0.814028,MT,no
606,1984,237.6,4.4,27.4,0.820893,MT,no
607,1985,208.5,5.8,20.9,0.822305,MT,no
608,1986,157.4,2.9,19.5,0.813748,MT,no
609,1987,151.2,4.1,24.2,0.805064,MT,no
610,1988,123,2.6,22.6,0.800194,MT,no
611,1989,116,2.9,17,0.799642,MT,no
612,1990,159.3,4.9,21.7,0.799824,MT,no
613,1991,139.9,2.6,18.6,0.807837,MT,no
614,1992,169.9,2.9,26.9,0.822436,MT,yes
615,1993,177.5,3,32.4,0.839876,MT,yes
616,1994,177.1,3.3,32.7,0.854923,MT,yes
617,1995,171.4,4,29.1,0.868522,MT,yes
618,1996,161,3.9,29.7,0.876656,MT,yes
619,1997,132.1,4.8,20.4,0.878706,MT,yes
620,1998,138.8,4.1,19.9,0.879533,MT,yes
621,1999,206.5,2.6,25.8,0.882779,MT,yes
622,1977,199.4,3.9,64.7,1.556843,NE,no
623,1978,190.5,3,64.9,1.563884,NE,no
624,1979,225.9,4.1,73.5,1.567344,NE,no
625,1980,224.6,4.4,82.2,1.572296,NE,no
626,1981,181.5,3.1,70.7,1.578528,NE,no
627,1982,229.6,2,61.9,1.581786,NE,no
628,1983,217.7,2.6,49.8,1.584301,NE,no
629,1984,225.8,3.4,43.2,1.588629,NE,no
630,1985,237.9,2.9,48.5,1.584662,NE,no
631,1986,262.6,3.1,51.1,1.574336,NE,no
632,1987,251.2,3.5,47.1,1.566558,NE,no
633,1988,273.2,3.6,56.1,1.571464,NE,no
634,1989,279.5,2.5,52,1.574881,NE,no
635,1990,330,2.7,51.1,1.580664,NE,no
636,1991,334.6,3.3,54,1.590805,NE,no
637,1992,348.6,4.2,56.7,1.602406,NE,no
638,1993,377.8,3.9,62.4,1.612149,NE,no
639,1994,389.5,3.1,75.4,1.621551,NE,no
640,1995,382,2.9,65.2,1.635142,NE,no
641,1996,435,2.9,63.7,1.647657,NE,no
642,1997,438.4,3,66.2,1.656042,NE,no
643,1998,451.4,3.1,77.6,1.660772,NE,no
644,1999,430.2,3.6,75.9,1.666028,NE,no
645,1977,743,15.8,323.1,0.678334,NV,no
646,1978,780.8,15.5,359.5,0.719436,NV,no
647,1979,835.6,17.5,407.5,0.765364,NV,no
648,1980,912.6,20,460.6,0.810215,NV,no
649,1981,896.4,17.5,458,0.847639,NV,no
650,1982,805.4,13.6,419.6,0.881545,NV,no
651,1983,655.2,12.8,307.2,0.901974,NV,no
652,1984,628.5,10.8,279,0.924905,NV,no
653,1985,667.1,10.3,274.9,0.951024,NV,no
654,1986,718.9,12.6,286.9,0.980653,NV,no
655,1987,695.7,8.4,272.5,1.023418,NV,no
656,1988,780.7,10.5,291.2,1.075027,NV,no
657,1989,625.3,8.2,250.6,1.137369,NV,no
658,1990,600.9,9.7,238.3,1.218629,NV,no
659,1991,677,11.8,312.5,1.285046,NV,no
660,1992,696.8,10.9,331.3,1.330694,NV,no
661,1993,875.2,10.4,340.1,1.380197,NV,no
662,1994,1001.9,11.7,352.4,1.456388,NV,no
663,1995,945.2,10.7,324.6,1.525777,NV,no
664,1996,811.3,13.7,307.6,1.596476,NV,yes
665,1997,798.7,11.2,302.4,1.675581,NV,yes
666,1998,643.6,9.7,254.9,1.743772,NV,yes
667,1999,570,9.1,232.7,1.809253,NV,yes
668,1977,113.1,3.2,23.2,0.869762,NH,yes
669,1978,118.8,1.4,26.3,0.89152,NH,yes
670,1979,139.9,2.4,28.6,0.909075,NH,yes
671,1980,179.8,2.5,42,0.92425,NH,yes
672,1981,147.1,2.9,35.8,0.936644,NH,yes
673,1982,124.8,2.2,33.9,0.947717,NH,yes
674,1983,125.1,2,24.1,0.958125,NH,yes
675,1984,133.9,1,23.2,0.976864,NH,yes
676,1985,140.8,2.1,26.7,0.996757,NH,yes
677,1986,139.5,2.2,23.6,1.025055,NH,yes
678,1987,149.6,3,26.5,1.054283,NH,yes
679,1988,147.9,2.3,21.1,1.082576,NH,yes
680,1989,168.5,3.3,23.8,1.104523,NH,yes
681,1990,131.5,1.9,27.2,1.111831,NH,yes
682,1991,119.3,3.6,33,1.107055,NH,yes
683,1992,125.7,1.6,33,1.112766,NH,yes
684,1993,137.8,2,27.3,1.122191,NH,yes
685,1994,116.8,1.4,27.1,1.133054,NH,yes
686,1995,114.5,1.8,27.4,1.145604,NH,yes
687,1996,118.2,1.7,27.3,1.160768,NH,yes
688,1997,113.2,1.4,23.4,1.173239,NH,yes
689,1998,107.2,1.5,21.5,1.185823,NH,yes
690,1999,96.5,1.5,21.4,1.201134,NH,yes
691,1977,392,5.6,180.4,7.337173,NJ,no
692,1978,423.5,5.4,192.6,7.350804,NJ,no
693,1979,501.2,6.6,250,7.366514,NJ,no
694,1980,604.4,6.9,303.7,7.37633,NJ,no
695,1981,630.6,7.3,334.6,7.407475,NJ,no
696,1982,607.4,6.5,307.6,7.430968,NJ,no
697,1983,553.1,5.3,269,7.467789,NJ,no
698,1984,527.7,5.3,242.4,7.515478,NJ,no
699,1985,544.5,5.4,255,7.565519,NJ,no
700,1986,572.5,5.2,268.7,7.62215,NJ,no
701,1987,541,4.6,232.8,7.670743,NJ,no
702,1988,582.8,5.3,245.2,7.712334,NJ,no
703,1989,609,5.1,273.3,7.726086,NJ,no
704,1990,647.6,5.6,301,7.757158,NJ,no
705,1991,634.8,5.2,293.1,7.784269,NJ,no
706,1992,625.8,5.1,285.2,7.82777,NJ,no
707,1993,626.9,5.3,296,7.874891,NJ,no
708,1994,614.2,5,288,7.918796,NJ,no
709,1995,599.8,5.1,283,7.965523,NJ,no
710,1996,531.5,4.2,235.8,8.009624,NJ,no
711,1997,492.6,4.2,210.6,8.054178,NJ,no
712,1998,440.1,4,186.2,8.095542,NJ,no
713,1999,411.9,3.5,174.9,8.143412,NJ,no
714,1977,500.9,8.8,109.6,1.21572,NM,no
715,1978,528.2,10.2,111.6,1.238035,NM,no
716,1979,586,12.4,121,1.284722,NM,no
717,1980,615,13.1,127.9,1.3094,NM,no
718,1981,671.7,11.4,140.8,1.332709,NM,no
719,1982,734.5,11.6,126.2,1.363794,NM,no
720,1983,686.8,8.9,114,1.394352,NM,no
721,1984,688.1,9.1,130.3,1.416665,NM,no
722,1985,703.9,10.9,138.1,1.438371,NM,no
723,1986,725.6,11.5,129.5,1.462727,NM,no
724,1987,628.5,10.1,108.3,1.478519,NM,no
725,1988,658.1,11.5,103.1,1.490329,NM,no
726,1989,703.9,8.6,105.2,1.503892,NM,no
727,1990,780.2,9.2,115.1,1.519933,NM,no
728,1991,834.8,10.5,120.3,1.547115,NM,no
729,1992,934.9,8.9,139.3,1.58075,NM,no
730,1993,929.7,8,138.4,1.614937,NM,no
731,1994,889.2,10.7,140.8,1.653329,NM,no
732,1995,819.2,8.8,154.5,1.682417,NM,no
733,1996,840.6,11.5,162.4,1.706151,NM,no
734,1997,853.3,7.7,171.4,1.722939,NM,no
735,1998,961.4,10.9,163.4,1.733535,NM,no
736,1999,834.5,9.8,148.2,1.739844,NM,no
737,1977,831.8,10.7,472.6,17.81261,NY,no
738,1978,841,10.3,472.1,17.68059,NY,no
739,1979,917.4,11.9,529.6,17.58384,NY,no
740,1980,1029.5,12.7,641.3,17.56675,NY,no
741,1981,1069.6,12.3,684,17.56773,NY,no
742,1982,990.1,11.4,610.7,17.58975,NY,no
743,1983,914.1,11.1,536.5,17.6869,NY,no
744,1984,914.3,10.1,506.9,17.74569,NY,no
745,1985,929.9,9.5,504.4,17.79167,NY,no
746,1986,985.9,10.7,514.1,17.83342,NY,no
747,1987,1008.1,11.3,503.3,17.86885,NY,no
748,1988,1097.3,12.5,544.4,17.94131,NY,no
749,1989,1131.2,12.5,579.3,17.98309,NY,no
750,1990,1180.9,14.5,624.7,18.00286,NY,no
751,1991,1163.9,14.2,622.1,18.02953,NY,no
752,1992,1122.1,13.2,596.9,18.08203,NY,no
753,1993,1073.5,13.3,561.2,18.14089,NY,no
754,1994,965.6,11.1,476.7,18.15665,NY,no
755,1995,841.9,8.5,399.7,18.15093,NY,no
756,1996,727,7.4,340,18.1438,NY,no
757,1997,688.6,6,309.3,18.14318,NY,no
758,1998,637.8,5.1,270.3,18.15918,NY,no
759,1999,588.8,5,240.8,18.1966,NY,no
760,1977,407.1,10.6,61.3,5.685611,NC,no
761,1978,413.4,10.8,65.9,5.759492,NC,no
762,1979,446.1,10.7,77.2,5.823493,NC,no
763,1980,455,10.6,82.3,5.89898,NC,no
764,1981,436.7,9.1,80.8,5.956661,NC,no
765,1982,446.3,9.1,85.9,6.019141,NC,no
766,1983,409.6,8.1,79.6,6.077066,NC,no
767,1984,403.6,8.7,74.8,6.164014,NC,no
768,1985,420.9,8.3,78.2,6.253989,NC,no
769,1986,475.9,8.1,87.7,6.321582,NC,no
770,1987,484,8.1,93.9,6.403696,NC,no
771,1988,501.9,7.8,108.6,6.480598,NC,no
772,1989,546.4,8.9,133.5,6.565467,NC,no
773,1990,623.5,10.7,152.1,6.656987,NC,no
774,1991,658.4,11.4,178,6.748135,NC,no
775,1992,681,10.6,186.8,6.83185,NC,no
776,1993,679.3,11.3,192.4,6.947412,NC,no
777,1994,655,10.9,181.2,7.060959,NC,no
778,1995,646.4,9.4,179.2,7.185403,NC,no
779,1996,588.1,8.5,163.9,7.307658,NC,yes
780,1997,607,8.3,172.6,7.428672,NC,yes
781,1998,579.4,8.1,160.8,7.545828,NC,yes
782,1999,542.1,7.2,158,7.650789,NC,yes
783,1977,67.1,0.9,13.3,0.649769,ND,no
784,1978,67,1.2,15.6,0.651302,ND,no
785,1979,61.3,1.5,9.9,0.652893,ND,no
786,1980,54,1.2,7.7,0.65438,ND,no
787,1981,67.5,2.3,12.9,0.659524,ND,no
788,1982,61.8,0.7,12.7,0.668969,ND,no
789,1983,53.7,2.1,7.8,0.676685,ND,no
790,1984,53.6,1.2,7.7,0.680498,ND,no
791,1985,47,1,6.4,0.676991,ND,no
792,1986,51.3,1,6.9,0.669489,ND,yes
793,1987,56.8,1.5,7.6,0.661167,ND,yes
794,1988,59.1,1.8,8.1,0.655273,ND,yes
795,1989,63.2,0.6,9.2,0.646341,ND,yes
796,1990,73.9,0.8,7.8,0.637364,ND,yes
797,1991,65.4,1.1,8,0.634199,ND,yes
798,1992,83.3,1.9,7.9,0.635427,ND,yes
799,1993,82.2,1.7,8.3,0.637229,ND,yes
800,1994,81.8,0.2,11.1,0.639762,ND,yes
801,1995,86.7,0.9,10,0.641548,ND,yes
802,1996,84,2.2,11,0.642858,ND,yes
803,1997,87.2,0.9,6.4,0.640945,ND,yes
804,1998,89.3,1.1,10.2,0.637808,ND,yes
805,1999,66.9,1.6,8.8,0.633666,ND,yes
806,1977,406.7,7.8,190.5,10.7714,OH,no
807,1978,412.7,6.9,182.6,10.79558,OH,no
808,1979,457.5,8.1,194.8,10.7983,OH,no
809,1980,498.3,8.1,223.7,10.80065,OH,no
810,1981,496.6,7.4,236.9,10.78832,OH,no
811,1982,436.7,6.3,183.6,10.75709,OH,no
812,1983,397.9,5.6,159.4,10.73763,OH,no
813,1984,385.3,5.1,145.6,10.73775,OH,no
814,1985,381.6,5.2,133.1,10.73492,OH,no
815,1986,420.9,5.5,142.1,10.73027,OH,no
816,1987,421.3,5.8,153.1,10.76008,OH,no
817,1988,452,5.4,161.4,10.79856,OH,no
818,1989,468.6,6,170.9,10.82921,OH,no
819,1990,506.2,6.1,188.5,10.86184,OH,no
820,1991,561.8,7.2,215.2,10.93368,OH,no
821,1992,525.9,6.6,199,11.00761,OH,no
822,1993,504.1,6,192.7,11.07038,OH,no
823,1994,485.8,6,187.5,11.11145,OH,no
824,1995,482.5,5.4,178.7,11.15549,OH,no
825,1996,428.7,4.8,164.1,11.18703,OH,no
826,1997,435.4,4.7,158.7,11.2125,OH,no
827,1998,362.5,4,133.5,11.23775,OH,no
828,1999,316.4,3.5,128,11.25665,OH,no
829,1977,316.6,8.6,73.8,2.870012,OK,no
830,1978,353,8.5,88.3,2.917336,OK,no
831,1979,405.2,9.7,102.6,2.975311,OK,no
832,1980,419.5,10,104.9,3.040758,OK,no
833,1981,426.8,9,115.4,3.096157,OK,no
834,1982,443.9,10.8,132.8,3.206124,OK,no
835,1983,423.4,7.6,128.7,3.290404,OK,no
836,1984,407.5,7.8,111.2,3.285528,OK,no
837,1985,422,7.7,106.8,3.271332,OK,no
838,1986,436.4,8.1,106.5,3.252731,OK,no
839,1987,417.6,7.5,109.5,3.210117,OK,no
840,1988,434.5,7.4,105.1,3.167058,OK,no
841,1989,491.5,6.5,126.2,3.150299,OK,no
842,1990,547.5,8,121.9,3.147105,OK,no
843,1991,583.7,7.2,128.9,3.166471,OK,no
844,1992,622.8,6.5,136.2,3.204174,OK,no
845,1993,634.8,8.4,121.8,3.228829,OK,no
846,1994,651.5,6.9,128.1,3.246119,OK,no
847,1995,664.1,12.2,115.6,3.265547,OK,no
848,1996,597.1,6.8,106.8,3.289634,OK,yes
849,1997,559.5,6.9,103.9,3.314259,OK,yes
850,1998,539.4,6.1,92,3.339478,OK,yes
851,1999,508.2,6.9,82.9,3.358044,OK,yes
852,1977,455.8,4.9,124.1,2.446673,OR,no
853,1978,502.4,5,131.1,2.518299,OR,no
854,1979,545.4,4.2,130.6,2.588013,OR,no
855,1980,490.4,5.1,152.4,2.641218,OR,no
856,1981,478.7,4.4,180.6,2.667984,OR,no
857,1982,473,5.1,167.3,2.664922,OR,no
858,1983,487.8,4.1,170.3,2.653058,OR,no
859,1984,506.1,4.8,168.6,2.666592,OR,no
860,1985,551.1,4.7,185.6,2.672648,OR,no
861,1986,549.7,6.6,205.9,2.683531,OR,no
862,1987,539.5,5.6,196,2.700999,OR,no
863,1988,545.7,5.1,193,2.741307,OR,no
864,1989,518.6,4.8,151.8,2.790568,OR,no
865,1990,506.8,3.8,144.3,2.858547,OR,no
866,1991,506.3,4.6,150.1,2.918745,OR,yes
867,1992,510.2,4.7,151.4,2.973934,OR,yes
868,1993,503.1,4.6,129.6,3.03449,OR,yes
869,1994,520.6,4.9,138.2,3.087142,OR,yes
870,1995,522.4,4.1,137.9,3.141421,OR,yes
871,1996,463.1,4,122.2,3.195087,OR,yes
872,1997,444.4,2.9,117.5,3.243254,OR,yes
873,1998,419.8,3.8,105.2,3.282055,OR,yes
874,1999,374.9,2.7,86.2,3.316154,OR,yes
875,1977,282.8,5.6,130.3,11.89359,PA,no
876,1978,301.1,6.2,136.7,11.8794,PA,no
877,1979,333.6,6.2,152.2,11.88798,PA,no
878,1980,363.9,6.8,177.9,11.86831,PA,no
879,1981,371.7,6.1,186.6,11.85857,PA,no
880,1982,360.4,5.7,175.4,11.84515,PA,no
881,1983,342.8,4.9,172.3,11.83773,PA,no
882,1984,320.6,4.5,148.4,11.81517,PA,no
883,1985,331.1,4.6,147,11.77085,PA,no
884,1986,358.6,5.5,152.1,11.78275,PA,no
885,1987,369.4,5.4,144.4,11.81086,PA,no
886,1988,362,5.5,138.1,11.84575,PA,no
887,1989,378.6,6.3,149.7,11.86601,PA,no
888,1990,431,6.7,176.2,11.8956,PA,yes
889,1991,450,6.3,193.9,11.94316,PA,yes
890,1992,427,6.2,180.7,11.98082,PA,yes
891,1993,417.5,6.8,179,12.02213,PA,yes
892,1994,426.7,5.9,186.7,12.04255,PA,yes
893,1995,427.3,6.3,189.3,12.04478,PA,yes
894,1996,480.3,5.7,189,12.03801,PA,yes
895,1997,442.1,5.9,156.3,12.01589,PA,yes
896,1998,420.5,5.3,164.9,12.00233,PA,yes
897,1999,420.5,4.9,155.7,11.99402,PA,yes
898,1977,301.6,3.6,86.5,0.950231,RI,no
899,1978,348.1,4,98.2,0.951816,RI,no
900,1979,375.1,3.2,109.7,0.950381,RI,no
901,1980,408.5,4.4,118.6,0.948773,RI,no
902,1981,441.7,4.2,132,0.953007,RI,no
903,1982,401.8,3.7,114.7,0.954176,RI,no
904,1983,355.2,2.7,112.9,0.956376,RI,no
905,1984,334.7,3.4,113.4,0.961901,RI,no
906,1985,346.6,3.6,115.9,0.96895,RI,no
907,1986,335.5,3.5,118.7,0.977343,RI,no
908,1987,359.7,3.5,107.7,0.989603,RI,no
909,1988,396.7,4.1,115.2,0.996417,RI,no
910,1989,378,4.9,112.4,1.000665,RI,no
911,1990,431.9,4.8,122,1.004649,RI,no
912,1991,462,3.7,122.9,1.00399,RI,no
913,1992,394.5,3.6,94.5,1.000571,RI,no
914,1993,401.7,3.9,101.1,0.997852,RI,no
915,1994,375.5,4.1,87.3,0.993412,RI,no
916,1995,368,3.3,92.3,0.989203,RI,no
917,1996,347.2,2.5,83.2,0.987858,RI,no
918,1997,333.5,2.5,71.6,0.986966,RI,no
919,1998,312.1,2.4,66.7,0.987704,RI,no
920,1999,286.6,3.6,79.5,0.990819,RI,no
921,1977,636.2,11.9,105.9,2.991683,SC,no
922,1978,637.6,11.5,101.3,3.044365,SC,no
923,1979,678.3,12.6,107.6,3.090266,SC,no
924,1980,660,11.4,118.1,3.134502,SC,no
925,1981,640.4,10.4,120.2,3.179235,SC,no
926,1982,720,10.9,122.4,3.207618,SC,no
927,1983,616.8,9.8,104.9,3.234074,SC,no
928,1984,624.5,9.2,103.3,3.271861,SC,no
929,1985,631,9.1,93.9,3.303208,SC,no
930,1986,674.6,8.6,99.5,3.342769,SC,no
931,1987,664.9,9.3,101.1,3.380506,SC,no
932,1988,741.2,9.3,124.7,3.412091,SC,no
933,1989,813.7,9.1,130.2,3.45677,SC,no
934,1990,976.6,11.2,152.4,3.499064,SC,no
935,1991,972.5,11.3,171.1,3.55947,SC,no
936,1992,944.5,10.4,170.6,3.600576,SC,no
937,1993,1023.4,10.3,187.3,3.634507,SC,no
938,1994,1030.5,9.6,186.1,3.666456,SC,no
939,1995,981.9,7.9,175.9,3.699943,SC,no
940,1996,996.9,9,172,3.738974,SC,no
941,1997,990.3,8.4,176.2,3.790066,SC,yes
942,1998,903.2,8,154.9,3.839578,SC,yes
943,1999,847.1,6.6,148.2,3.885736,SC,yes
944,1977,189.1,2,17.9,0.68848,SD,no
945,1978,163.5,1.9,15.9,0.68858,SD,no
946,1979,159.1,2,20.3,0.688334,SD,no
947,1980,126.8,0.7,20.1,0.690851,SD,no
948,1981,104.8,1.8,17.8,0.689569,SD,no
949,1982,99,2.7,17.1,0.690615,SD,no
950,1983,120,2.1,15.9,0.692985,SD,no
951,1984,147.5,1.8,14.9,0.697239,SD,no
952,1985,136.6,1.8,17.1,0.6984,SD,no
953,1986,124.7,4,16.2,0.69598,SD,yes
954,1987,119.7,1.8,12.3,0.696042,SD,yes
955,1988,113.7,3.1,12.2,0.698148,SD,yes
956,1989,135.5,1.3,11.7,0.696691,SD,yes
957,1990,162.8,2,12.4,0.696667,SD,yes
958,1991,182.2,1.7,18.8,0.701445,SD,yes
959,1992,194.5,0.6,16.9,0.708698,SD,yes
960,1993,208.4,3.4,15,0.716258,SD,yes
961,1994,227.6,1.4,18.7,0.723038,SD,yes
962,1995,207.5,1.8,25.9,0.728251,SD,yes
963,1996,177.2,1.2,18.9,0.730699,SD,yes
964,1997,197.4,1.4,23.3,0.730855,SD,yes
965,1998,154.3,1.4,20.2,0.730789,SD,yes
966,1999,167.4,2.5,14.1,0.733133,SD,yes
967,1977,389.5,10.1,145.8,4.422921,TN,no
968,1978,382.6,9.4,152.4,4.486313,TN,no
969,1979,414,9.8,166.1,4.560474,TN,no
970,1980,458.1,10.8,180.6,4.600252,TN,no
971,1981,412.6,9.7,171.7,4.627667,TN,no
972,1982,421.1,9.7,175.7,4.646043,TN,no
973,1983,402,8.8,172.8,4.659755,TN,no
974,1984,445.4,8.4,166.8,4.68674,TN,no
975,1985,474.4,9,180.9,4.715287,TN,no
976,1986,539.6,10.4,207.7,4.738713,TN,no
977,1987,533.5,9.1,193.8,4.78293,TN,no
978,1988,532.7,9.4,173.6,4.822437,TN,no
979,1989,548.9,8.4,160.4,4.854461,TN,no
980,1990,670.4,10.5,191.2,4.890626,TN,no
981,1991,725.9,11,212.9,4.946886,TN,no
982,1992,746.2,10.4,218.2,5.013999,TN,no
983,1993,765.8,10.2,220.1,5.085666,TN,no
984,1994,747.9,9.3,207.4,5.163016,TN,no
985,1995,771.5,10.6,223.2,5.241168,TN,yes
986,1996,774,9.5,223.7,5.313576,TN,yes
987,1997,789.7,9.5,214,5.378433,TN,yes
988,1998,715,8.5,178,5.432679,TN,yes
989,1999,694.9,7.1,156.8,5.483535,TN,yes
990,1977,407.7,13.3,152.4,13.19306,TX,no
991,1978,435.3,14.2,164.4,13.50043,TX,no
992,1979,507.9,16.7,191.8,13.88837,TX,no
993,1980,550.3,16.9,208.5,14.33821,TX,no
994,1981,532.4,16.6,193.3,14.74631,TX,no
995,1982,577.1,16.1,220,15.33141,TX,no
996,1983,512.2,14.2,189.3,15.75168,TX,no
997,1984,505,13.1,178.5,16.00708,TX,no
998,1985,550,13,193.5,16.27274,TX,no
999,1986,658.9,13.5,239.9,16.56111,TX,no
1000,1987,631.1,11.7,226.7,16.6218,TX,no
1001,1988,652.6,12.1,234.2,16.66702,TX,no
1002,1989,658.5,11.9,223.1,16.80673,TX,no
1003,1990,761.4,14.1,260.8,17.04471,TX,no
1004,1991,840.1,15.3,286.5,17.3399,TX,no
1005,1992,806.3,12.7,252.5,17.65048,TX,no
1006,1993,762.1,11.9,224.4,17.99676,TX,no
1007,1994,706.5,11,204.8,18.33832,TX,no
1008,1995,663.9,9,179.8,18.67971,TX,no
1009,1996,644.4,7.7,171.5,19.00624,TX,no
1010,1997,602.5,6.8,157,19.35543,TX,yes
1011,1998,564.6,6.8,145.1,19.71239,TX,yes
1012,1999,560.3,6.1,146.7,20.04414,TX,yes
1013,1977,240,3.5,68.8,1.319511,UT,no
1014,1978,271.8,3.7,66.5,1.367512,UT,no
1015,1979,304.2,4.8,77.7,1.420239,UT,no
1016,1980,303.3,3.8,80.2,1.472595,UT,no
1017,1981,298.6,3.3,84.8,1.515469,UT,no
1018,1982,285.7,3.4,86.5,1.558316,UT,no
1019,1983,256,3.5,64.3,1.594939,UT,no
1020,1984,244.2,2.8,58,1.622341,UT,no
1021,1985,267.4,3,55.2,1.642907,UT,no
1022,1986,266.7,3.2,58.6,1.662838,UT,no
1023,1987,229.8,3.3,52.8,1.678115,UT,yes
1024,1988,243.1,2.8,54.1,1.689366,UT,yes
1025,1989,258.8,2.6,52.6,1.705867,UT,yes
1026,1990,283.9,3,56.9,1.729722,UT,yes
1027,1991,286.8,2.9,55.1,1.771941,UT,yes
1028,1992,290.5,3,55.9,1.821498,UT,yes
1029,1993,301,3.1,58.6,1.875993,UT,yes
1030,1994,304.5,2.9,63.6,1.930436,UT,yes
1031,1995,328.8,3.9,67.1,1.976774,UT,yes
1032,1996,331.9,3.2,68.9,2.022253,UT,yes
1033,1997,334,2.4,68.4,2.065397,UT,yes
1034,1998,314.2,3.1,66,2.100562,UT,yes
1035,1999,275.5,2.1,54.4,2.129836,UT,yes
1036,1977,149.5,1.4,30.8,0.491929,VT,yes
1037,1978,166.3,3.3,14.4,0.498108,VT,yes
1038,1979,184.2,1.4,28.6,0.505372,VT,yes
1039,1980,178.8,2.2,38.9,0.512524,VT,yes
1040,1981,128,4.3,27.6,0.515605,VT,yes
1041,1982,126.9,2.3,23.1,0.519107,VT,yes
1042,1983,132.6,3.6,27.8,0.523308,VT,yes
1043,1984,145.1,2.3,23,0.526658,VT,yes
1044,1985,147.7,3.4,20.9,0.530029,VT,yes
1045,1986,149.2,2,22.2,0.534055,VT,yes
1046,1987,136.5,2.7,16.8,0.540273,VT,yes
